family,date,contract,feature,side,pnl,cum_pnl
flies,2018-02-20,CLZ2018-CLZ2019-CLZ2020,z_50,-1.0,-0.010000000000009095,-3.790000000000032
flies,2018-03-25,CLM2018-CLM2019-CLM2020,z_50,-1.0,1.1200000000000006,-2.6700000000000315
flies,2018-03-28,CLZ2018-CLZ2019-CLZ2020,z_50,-1.0,-0.5899999999999861,-3.2600000000000176
flies,2018-05-07,CLZ2018-CLZ2019-CLZ2020,z_50,-1.0,1.1999999999999988,-2.0600000000000187
flies,2018-10-18,CLM2019-CLM2020-CLM2021,z_50,1.0,-0.48000000000000087,-2.5400000000000196
flies,2018-11-26,CLM2019-CLM2020-CLM2021,z_50,1.0,-1.0300000000000122,-3.570000000000032
flies,2019-01-09,CLM2019-CLM2020-CLM2021,z_50,1.0,-1.0799999999999952,-4.650000000000027
flies,2019-03-06,CLZ2019-CLZ2020-CLZ2021,z_50,1.0,1.2699999999999991,-3.380000000000028
flies,2019-03-07,CLM2019-CLM2020-CLM2021,z_50,1.0,2.3200000000000105,-1.0600000000000174
flies,2019-06-02,CLZ2019-CLZ2020-CLZ2021,z_50,-1.0,-0.6999999999999926,-1.76000000000001
flies,2019-07-15,CLZ2019-CLZ2020-CLZ2021,z_50,-1.0,-0.6000000000000054,-2.3600000000000154
flies,2019-09-05,CLZ2019-CLZ2020-CLZ2021,z_50,-1.0,-0.10999999999999631,-2.4700000000000117
flies,2019-09-10,CLM2020-CLM2021-CLM2022,z_50,-1.0,-1.1599999999999864,-3.629999999999998
flies,2019-10-24,CLM2020-CLM2021-CLM2022,z_50,-1.0,-0.1800000000000108,-3.810000000000009
flies,2019-12-12,CLM2020-CLM2021-CLM2022,z_50,-1.0,-0.1099999999999892,-3.919999999999998
flies,2020-04-01,CLZ2020-CLZ2021-CLZ2022,z_50,1.0,-0.20999999999999772,-4.1299999999999955
flies,2020-04-13,CLM2020-CLM2021-CLM2022,z_50,1.0,4.619999999999994,0.48999999999999844
flies,2020-08-28,CLZ2020-CLZ2021-CLZ2022,z_50,1.0,-0.46999999999999575,0.020000000000002682
flies,2020-10-01,CLM2021-CLM2022-CLM2023,z_50,1.0,-0.8400000000000145,-0.8200000000000118
