family,date,contract,feature,side,pnl,cum_pnl
cracks,2017-03-08,CL:C1 RB-CL Q2017,z_50,-1.0,-0.40999999999999903,-3.5599999999999943
cracks,2017-03-27,CL:C1 RB-CL Z2017,z_50,-1.0,1.3500000000000008,-2.2099999999999937
cracks,2017-04-05,CL:C1 HO-CL N2017,z_50,-1.0,1.3999999999999997,-0.8099999999999941
cracks,2017-04-11,CL:C1 HO-CL U2017,z_50,-1.0,0.2700000000000007,-0.5399999999999934
cracks,2017-04-21,CL:C1 RB-CL V2017,z_50,-1.0,0.6100000000000005,0.07000000000000717
cracks,2017-05-18,CL:C1 RB-CL Z2017,z_50,-1.0,-0.5200000000000002,-0.44999999999999307
cracks,2017-05-19,CL:C1 HO-CL N2017,z_50,-1.0,0.7299999999999998,0.2800000000000067
cracks,2017-05-19,CL:C1 HO-CL Z2017,z_50,-1.0,1.4700000000000017,1.7500000000000084
cracks,2017-05-19,CL:C1 HO-CL Q2017,z_50,-1.0,1.099999999999999,2.8500000000000076
cracks,2017-05-26,CL:C1 HO-CL U2017,z_50,-1.0,-0.5600000000000012,2.2900000000000063
cracks,2017-06-22,CL:C1 RB-CL Z2017,z_50,-1.0,-1.3999999999999992,0.890000000000007
cracks,2017-06-28,CL:C1 RB-CL V2017,z_50,-1.0,-2.8799999999999994,-1.9899999999999924
cracks,2017-06-30,CL:C1 HO-CL Z2017,z_50,-1.0,-3.1700000000000004,-5.159999999999993
cracks,2017-06-30,CL:C1 RB-CL U2017,z_50,-1.0,-4.12,-9.279999999999994
cracks,2017-07-03,CL:C1 HO-CL V2017,z_50,-1.0,-3.0100000000000002,-12.289999999999994
cracks,2017-08-11,CL:C1 RB-CL V2017,z_50,-1.0,-7.340000000000001,-19.629999999999995
cracks,2017-08-23,CL:C1 HO-CL Z2017,z_50,-1.0,-4.46,-24.089999999999996
cracks,2017-09-17,CL:C1 RB-CL X2017,z_50,-1.0,1.5199999999999971,-22.57
cracks,2017-09-21,CL:C1 RB-CL Z2017,z_50,-1.0,-1.5599999999999994,-24.13
cracks,2017-09-26,CL:C1 RB-CL F2018,z_50,-1.0,-2.2999999999999994,-26.43
cracks,2017-10-02,CL:C1 HO-CL F2018,z_50,-1.0,-0.8300000000000007,-27.26
cracks,2017-10-04,CL:C1 HO-CL Z2017,z_50,-1.0,0.8699999999999986,-26.390000000000004
cracks,2017-10-13,CL:C1 HO-CL M2018,z_50,-1.0,-0.6600000000000026,-27.050000000000008
cracks,2017-10-19,CL:C1 RB-CL H2018,z_50,-1.0,-0.13999999999999943,-27.19000000000001
cracks,2017-10-23,CL:C1 HO-CL H2018,z_50,-1.0,-1.3800000000000014,-28.57000000000001
cracks,2017-10-31,CL:C1 HO-CL G2018,z_50,-1.0,1.8000000000000018,-26.77000000000001
cracks,2017-11-10,CL:C1 HO-CL F2018,z_50,-1.0,0.24000000000000313,-26.53000000000001
cracks,2017-11-15,CL:C1 RB-CL F2018,z_50,-1.0,3.939999999999999,-22.59000000000001
cracks,2017-11-22,CL:C1 RB-CL M2018,z_50,-1.0,-0.24000000000000085,-22.830000000000013
cracks,2017-11-27,CL:C1 RB-CL H2018,z_50,-1.0,2.4400000000000026,-20.39000000000001
cracks,2017-11-27,CL:C1 RB-CL G2018,z_50,-1.0,2.2100000000000004,-18.18000000000001
cracks,2017-11-28,CL:C1 HO-CL H2018,z_50,-1.0,-2.539999999999998,-20.72000000000001
cracks,2017-12-12,CL:C1 HO-CL G2018,z_50,-1.0,0.8800000000000001,-19.84000000000001
cracks,2017-12-22,CL:C1 HO-CL M2018,z_50,-1.0,2.0000000000000013,-17.84000000000001
cracks,2018-04-19,CL:C1 HO-CL M2018,z_50,-1.0,-3.919999999999997,-21.76000000000001
cracks,2018-04-19,CL:C1 RB-CL Z2018,z_50,-1.0,-2.739999999999999,-24.500000000000007
cracks,2018-04-23,CL:C1 RB-CL N2018,z_50,-1.0,-2.569999999999999,-27.070000000000007
cracks,2018-04-23,CL:C1 RB-CL M2018,z_50,-1.0,-2.1399999999999992,-29.210000000000008
cracks,2018-04-25,CL:C1 HO-CL Z2018,z_50,-1.0,-3.4599999999999995,-32.67000000000001
cracks,2018-04-25,CL:C1 HO-CL N2018,z_50,-1.0,-3.810000000000001,-36.48000000000001
cracks,2018-04-27,CL:C1 RB-CL U2018,z_50,-1.0,-3.53,-40.01000000000001
cracks,2018-06-12,CL:C1 HO-CL Q2018,z_50,-1.0,6.13,-33.88000000000001
cracks,2018-06-13,CL:C1 RB-CL Z2018,z_50,-1.0,2.8600000000000008,-31.02000000000001
cracks,2018-06-14,CL:C1 HO-CL Z2018,z_50,-1.0,1.4199999999999993,-29.600000000000012
cracks,2018-09-10,CL:C1 RB-CL Z2018,z_50,-1.0,3.7599999999999993,-25.840000000000014
cracks,2018-09-26,CL:C1 HO-CL Z2018,z_50,-1.0,-3.5100000000000002,-29.350000000000016
cracks,2018-09-27,CL:C1 RB-CL F2019,z_50,-1.0,6.189999999999999,-23.160000000000018
cracks,2018-11-15,CL:C1 HO-CL M2019,z_50,-1.0,3.4500000000000006,-19.71000000000002
cracks,2018-12-03,CL:C1 RB-CL H2019,z_50,1.0,-0.32999999999999985,-20.040000000000017
cracks,2018-12-03,CL:C1 RB-CL G2019,z_50,1.0,1.7100000000000002,-18.330000000000016
cracks,2018-12-05,CL:C1 RB-CL M2019,z_50,1.0,-1.1300000000000014,-19.46000000000002
cracks,2018-12-26,CL:C1 RB-CL J2019,z_50,1.0,-3.729999999999999,-23.19000000000002
cracks,2019-02-07,CL:C1 HO-CL J2019,z_50,-1.0,-0.7699999999999985,-23.96000000000002
cracks,2019-02-08,CL:C1 HO-CL M2019,z_50,-1.0,2.090000000000001,-21.87000000000002
cracks,2019-03-10,CL:C1 HO-CL K2019,z_50,-1.0,4.88,-16.99000000000002
cracks,2019-05-15,CL:C1 RB-CL N2019,z_50,-1.0,1.0300000000000022,-15.960000000000017
cracks,2019-05-17,CL:C1 RB-CL Q2019,z_50,-1.0,2.0000000000000013,-13.960000000000015
cracks,2019-05-29,CL:C1 RB-CL U2019,z_50,-1.0,-1.909999999999999,-15.870000000000013
cracks,2019-07-24,CL:C1 HO-CL V2019,z_50,-1.0,2.460000000000002,-13.41000000000001
cracks,2019-07-25,CL:C1 RB-CL V2019,z_50,-1.0,3.57,-9.84000000000001
cracks,2019-09-05,CL:C1 RB-CL X2019,z_50,1.0,5.31,-4.530000000000011
cracks,2019-09-05,CL:C1 RB-CL Z2019,z_50,1.0,4.289999999999999,-0.24000000000001176
cracks,2019-11-25,CL:C1 RB-CL G2020,z_50,-1.0,1.3099999999999998,1.069999999999988
cracks,2020-03-26,CL:C1 HO-CL M2020,z_50,-1.0,4.209999999999998,5.279999999999986
cracks,2020-04-08,CL:C1 RB-CL Z2020,z_50,1.0,4.999999999999999,10.279999999999985
cracks,2020-04-08,CL:C1 RB-CL N2020,z_50,1.0,13.250000000000002,23.529999999999987
cracks,2020-04-08,CL:C1 RB-CL M2020,z_50,1.0,13.56,37.08999999999999
cracks,2020-04-14,CL:C1 RB-CL Q2020,z_50,1.0,7.74,44.82999999999999
cracks,2020-04-15,CL:C1 HO-CL Z2020,z_50,1.0,-1.4100000000000008,43.41999999999999
cracks,2020-04-15,CL:C1 RB-CL U2020,z_50,1.0,6.1000000000000005,49.51999999999999
cracks,2020-04-27,CL:C1 HO-CL N2020,z_50,1.0,-4.8900000000000015,44.62999999999999
cracks,2020-05-27,CL:C1 HO-CL Z2020,z_50,1.0,0.48000000000000154,45.10999999999999
cracks,2020-06-05,CL:C1 HO-CL Q2020,z_50,1.0,1.3800000000000001,46.489999999999995
