family,n_features,feature,horizon,n_vintages,n_folds,n_obs_test,ic_mean,ic_std,ic_t,ic_ci_low,ic_ci_high,gross_spread,net_spread,monotonicity,bucket_profile,bucket_edges,p_reversion,p_continuation,n_trades,win_rate,avg_pnl,sharpe,mfe_mean,mae_mean,confidence,sign_consistency
brent_wti,13,composite,30,16,13,26744,-0.033229891423724,0.11277094849469751,-1.0624374362868065,-0.09453287733706764,0.028073094489619643,0.0428776938903652,0.0228776938903652,-0.49999999999999994,"[0.0907, 0.0535, 0.042, 0.0673, 0.0478]","[-1.5534, -0.3973, -0.0694, 0.1389, 0.5038, 2.2642]",0.49293811559189743,0.5070618844081025,804,0.5074626865671642,0.05402985074626867,0.11698555647359114,0.805497512437811,-0.6755597014925374,13.280467953585083,0.46153846153846156
quarterly,13,composite,20,19,16,41936,-0.05428453947765806,0.10458378202169039,-2.076212522756142,-0.10553059266828635,-0.003038486287029768,0.03486560147229831,0.024865601472298306,-0.09999999999999999,"[-0.012, 0.0485, 0.0421, 0.0936, -0.0469]","[-1.8806, -0.4139, -0.0964, 0.1256, 0.4352, 2.6432]",0.48298851791100056,0.5170114820889995,1866,0.49892818863879956,0.030905680600214532,0.10271747819439521,0.6682207931404077,-0.6278456591639868,36.42478110098494,0.625
quarterly,13,composite,25,19,16,41031,-0.05518432607498203,0.1270221319206176,-1.737786171293974,-0.11742517071608466,0.007056518566120586,0.1049938046381341,0.0949938046381341,-0.39999999999999997,"[0.0426, 0.0855, 0.0549, 0.0516, -0.0624]","[-2.6673, -0.4635, -0.1373, 0.0878, 0.3937, 2.6115]",0.4973116758164016,0.5026883241835984,1507,0.48838752488387527,-0.0014930325149302096,-0.004174798085114447,0.7321035169210353,-0.7119177173191771,30.48747668936796,0.625
quarterly,13,composite,30,19,16,40129,-0.058636278276788675,0.1355121271897865,-1.730805338024627,-0.12503722059978406,0.00776466404620671,0.1589789946286302,0.14897899462863018,-0.8999999999999998,"[0.0958, 0.1142, 0.0743, 0.0226, -0.0632]","[-2.4074, -0.4467, -0.1294, 0.0736, 0.3437, 2.3738]",0.4954275262917238,0.5045724737082762,1270,0.494488188976378,-0.016960629921259684,-0.042908116667669034,0.7760787401574805,-0.7864015748031498,30.365005930256615,0.625
semestral,13,composite,20,20,16,35917,-0.03588132123850288,0.1011916324520737,-1.418351314986324,-0.08546522114001899,0.013702578663013235,0.023276122126275257,0.008276122126275258,-0.3,"[0.0499, 0.0898, 0.0953, 0.068, 0.0266]","[-2.5659, -0.5279, -0.1241, 0.16, 0.5427, 2.9817]",0.48197294323257167,0.5180270567674283,1591,0.502828409805154,0.08968887492143263,0.17589592504344978,1.1486549340037713,-0.9736015084852295,17.41834948228819,0.4375
semestral,13,composite,25,20,16,35017,-0.06378465242042533,0.11107873014503522,-2.2969168746218784,-0.11821323019149259,-0.009356074649358073,0.17178994124756902,0.156789941247569,-0.7,"[0.1743, 0.0708, 0.124, 0.0851, 0.0025]","[-2.4563, -0.4124, -0.1083, 0.1208, 0.4406, 3.4194]",0.5077830032456779,0.49221699675432207,1272,0.4944968553459119,0.039481132075471756,0.06822384663515123,1.2212106918238999,-1.0977122641509434,52.38582345628845,0.8125
semestral,13,composite,30,20,16,34117,-0.049290076197225585,0.13242611914167768,-1.4888324604451182,-0.11417887457664765,0.015598722182196476,0.17612846737076532,0.1611284673707653,-0.6,"[0.2033, 0.0901, 0.1178, 0.1329, 0.0272]","[-2.4893, -0.4129, -0.1085, 0.1044, 0.391, 1.8869]",0.4899259156684899,0.5100740843315101,1071,0.5126050420168067,0.007605042016806593,0.011248271600756888,1.3453221288515407,-1.2166293183940247,23.5078809543966,0.5625
yearly,13,composite,20,22,18,21046,-0.05673505221454268,0.14178227330453685,-1.6977188706393354,-0.1222351207262552,0.008765016297169831,0.3493103744840731,0.3293103744840731,-0.6,"[0.2931, 0.3675, 0.3919, 0.2102, -0.0562]","[-3.0219, -0.558, -0.1378, 0.1311, 0.5062, 2.501]",0.48219855867484135,0.5178014413251586,912,0.49780701754385964,0.05203947368421099,0.0667254046291198,1.9190460526315791,-1.6358223684210527,32.3375022978921,0.6666666666666666
yearly,13,composite,25,22,18,20170,-0.04453573366795646,0.17883172752798004,-1.0565749059311484,-0.12715177678916506,0.03808030945325214,0.20676481938273905,0.18676481938273906,-0.19999999999999998,"[0.3207, 0.2811, 0.4329, 0.3834, 0.114]","[-2.3065, -0.5137, -0.1203, 0.0846, 0.3712, 3.641]",0.47467811158798284,0.5253218884120172,732,0.5122950819672131,0.21756830601092902,0.2500961283467015,2.222527322404372,-1.7070081967213115,20.125236303450443,0.6666666666666666
yearly,13,composite,30,22,18,19307,-0.05823703989158865,0.21057297853521242,-1.173364392051499,-0.15551679284876202,0.03904271306558473,0.23542123729164957,0.21542123729164958,-0.7,"[0.3867, 0.5153, 0.479, 0.3237, 0.1513]","[-1.9365, -0.4887, -0.1153, 0.0707, 0.3131, 3.623]",0.4715338245144005,0.5284661754855995,607,0.46787479406919275,-0.08153212520593105,-0.07049661008838747,2.232240527182867,-2.1474958813838554,22.349797943838073,0.6666666666666666
flies,13,composite,20,21,17,6848,-0.03152242100877772,0.12224073952516581,-1.0632320444005712,-0.08963197997343146,0.026587137955876014,0.10748135106931281,0.0874813510693128,-0.7,"[0.1278, 0.0222, -0.0232, -0.0519, 0.0203]","[-1.9085, -0.26, -0.0696, 0.0521, 0.2144, 1.8038]",0.48185053380782916,0.5181494661921708,304,0.4934210526315789,-0.15223684210526348,-0.3676516636267293,0.8458881578947364,-1.1282894736842117,14.176427258674282,0.47058823529411764
flies,13,composite,25,21,17,6688,-0.06462556114252305,0.12736933555480046,-2.0920107147044957,-0.12517309990464512,-0.004078022380400975,0.3793365445783493,0.3593365445783493,-0.9999999999999999,"[0.1813, 0.1016, 0.0723, 0.0113, -0.1981]","[-1.7664, -0.3892, -0.1307, 0.064, 0.3065, 1.9593]",0.5030080213903744,0.49699197860962563,250,0.516,0.03620000000000026,0.06845173573847613,1.0952799999999994,-1.1204000000000007,38.35352976958242,0.6470588235294118
flies,13,composite,30,21,17,6528,0.0630223498559267,0.1591077149966983,1.6331565394928078,-0.012612656789534132,0.13865735650138752,-0.05155478831001511,-0.0715547883100151,0.7,"[0.0222, 0.0493, 0.1099, 0.1103, 0.0738]","[-2.0204, -0.3577, -0.1349, 0.0221, 0.1986, 1.2909]",0.43581206067332595,0.564187939326674,201,0.5373134328358209,-0.1423383084577115,-0.19971716346305404,1.1550746268656726,-1.255970149253732,32.66313078985616,0.7058823529411765
