family,feature,regime,horizon,n_vintages,n_folds,n_obs_test,ic_mean,ic_std,ic_t,ic_ci_low,ic_ci_high,gross_spread,net_spread,monotonicity,bucket_profile,bucket_edges,p_reversion,p_continuation,n_trades,win_rate,avg_pnl,sharpe,mfe_mean,mae_mean,confidence,sign_consistency
calendars,z_20,trend,25,21,17,69776,-0.02404489128892959,0.24677295770860413,-0.40174428941204043,-0.1413533090271745,0.0932635264493153,-0.0002604608860416191,-0.01026046088604162,0.3,"[0.089, 0.034, 0.0804, 0.0641, 0.0893]","[-3.7254, -1.593, -0.907, 1.0119, 1.6684, 4.0273]",0.5044762159273116,0.4955237840726884,5933,0.4621607955503118,-0.1419399966290241,-0.23041271264555235,0.7576959379740434,-0.8902848474633406,6.026164341180607,0.5294117647058824
calendars,z_50,range,25,19,15,59324,-0.05847789995003798,0.12769582854361977,-1.7736204479875843,-0.12310090541443866,0.006145105514362703,0.07394696021193406,0.06394696021193406,-0.7999999999999999,"[0.0568, 0.0984, 0.0303, -0.0835, -0.0172]","[-3.5337, -0.7008, -0.1762, 0.3042, 0.7912, 3.0408]",0.486879558797367,0.513120441202633,4531,0.5076142131979695,-0.06252924299271682,-0.11620167580894596,0.7404524387552417,-0.781988523504745,29.560340799793074,0.6
calendars,z_50,trend,25,19,16,51555,-0.03702460141389918,0.24588291776407717,-0.6023127063983195,-0.157507231118297,0.08345802829049863,0.13286370507584686,0.12286370507584686,-0.8999999999999998,"[0.1458, 0.1517, 0.1452, 0.074, 0.0129]","[-4.3252, -1.948, -1.1445, 1.3619, 2.0462, 5.7893]",0.5192666927320909,0.4807333072679091,3550,0.4853521126760563,-0.06787042253521122,-0.10876065325892818,0.8669042253521128,-0.8055154929577465,9.510200627341886,0.5625
calendars,pctb_20_2,range,25,21,17,80283,0.032911973661700775,0.1314395433510531,1.0324103408690937,-0.029570419068529405,0.09539436639193095,-0.03747313283472707,-0.04747313283472707,0.39999999999999997,"[0.0738, -0.0087, 0.0372, 0.0649, 0.1113]","[-0.3827, 0.272, 0.421, 0.5635, 0.7141, 1.3645]",0.4785498288638554,0.5214501711361446,6448,0.5004652605459057,-0.019280397022332477,-0.03703472637763903,0.7653055210918114,-0.7969928660049628,22.36889071883036,0.7647058823529411
calendars,pctb_20_2,trend,25,21,17,69776,-0.024044678744817072,0.24677292526936812,-0.40174079101549937,-0.14135308106242803,0.09326372357279387,-0.0002604608860416191,-0.01026046088604162,0.3,"[0.089, 0.034, 0.0804, 0.0641, 0.0893]","[-0.4313, 0.1018, 0.2732, 0.753, 0.9171, 1.5068]",0.5044762159273116,0.4955237840726884,5933,0.4621607955503118,-0.1419399966290241,-0.23041271264555235,0.7576959379740434,-0.8902848474633406,6.02611186523249,0.5294117647058824
calendars,pctb_10_1_5,range,25,21,17,80283,-0.004116005186671031,0.10915237564891445,-0.15547736858078706,-0.05600375090500278,0.047771740531660715,0.0009846538195490695,-0.00901534618045093,-0.3,"[0.0319, 0.0988, -0.0019, 0.0798, 0.0309]","[-0.4391, 0.1281, 0.3542, 0.6115, 0.8562, 1.4194]",0.4904128576614633,0.5095871423385367,6550,0.5146564885496183,0.04057404580152674,0.08004843765036872,0.7787175572519085,-0.7724748091603053,1.5547736858078707,0.35294117647058826
calendars,pctb_10_1_5,trend,25,21,17,69776,-0.02265570830671441,0.17392358866436325,-0.5370857345407739,-0.10533373422585031,0.06002231761242148,-0.0578574242190085,-0.0678574242190085,0.39999999999999997,"[0.0597, 0.0678, 0.0797, 0.0156, 0.1175]","[-0.4084, 0.0553, 0.3279, 0.7347, 0.9676, 1.4364]",0.48154573595945166,0.5184542640405483,6182,0.4626334519572954,-0.11231316725978646,-0.1774636721223122,0.7972371400841153,-0.8895179553542543,8.056286018111608,0.5294117647058824
calendars,keltner_dist_20,range,25,21,17,80283,-0.009745124929918875,0.09995449038672967,-0.4019847359076716,-0.05726047354014076,0.037770223680303014,0.024124201063222737,0.014124201063222737,-0.09999999999999999,"[0.0811, 0.0284, 0.0216, 0.0446, 0.057]","[-5.1422, -1.3139, -0.4253, 0.3819, 1.2602, 4.9082]",0.48762546179749566,0.5123745382025043,6399,0.4739803094233474,-0.05308798249726518,-0.10009955293280902,0.7618346616658852,-0.8225597749648383,5.3597964787689545,0.47058823529411764
calendars,keltner_dist_20,trend,25,21,17,69776,-0.09075734917129043,0.20186616280710587,-1.8537140238399659,-0.18671843167270127,0.005203733330120419,0.04986516524503559,0.03986516524503559,-0.09999999999999999,"[0.0605, 0.0788, 0.1285, 0.119, 0.0107]","[-8.3168, -4.0829, -2.2557, 2.329, 3.8891, 8.8572]",0.49356149878744404,0.506438501212556,4913,0.4604111540810096,-0.18106045186240585,-0.2830291161758637,0.7646895990230003,-0.9424180744962346,33.98475710373271,0.6470588235294118
calendars,rsi_2,range,25,21,17,80283,-0.02754437507280947,0.08740673918155745,-1.2993090564896186,-0.06909490138759154,0.014006151241972603,0.03651931862916316,0.02651931862916316,-0.7999999999999999,"[0.0549, 0.1043, 0.0217, 0.0257, 0.0184]","[0.0157, 16.3931, 36.6491, 61.0339, 82.67, 99.956]",0.4916077879727613,0.5083922120272387,6642,0.506323396567299,0.021638060825052718,0.04263920633868171,0.7573035230352304,-0.80724330021078,21.655150941493645,0.5882352941176471
