family,group,feature,horizon,n_vintages,n_folds,n_obs_test,ic_mean,ic_std,ic_t,ic_ci_low,ic_ci_high,gross_spread,net_spread,monotonicity,bucket_profile,bucket_edges,p_reversion,p_continuation,n_trades,win_rate,avg_pnl,sharpe,mfe_mean,mae_mean,confidence,sign_consistency,ic_p,ic_q,sig_fdr
outrights,ALL,mom_decel_10,20,23,19,46449,-0.028776608481537003,0.07044738004502167,-1.7805392937067692,-0.06045361377041955,0.0029003968073455406,0.2238699027562189,0.2038699027562189,-0.6,"[0.2615, 0.1441, 0.3141, -0.1189, 0.0377]","[-13.8021, -3.4953, -1.1471, 0.9537, 3.474, 14.7461]",0.49038514518706267,0.5096148548129373,2137,0.4880673841834347,0.07247543284978983,0.32017898408527445,3.112971455311184,-2.9856387459054745,32.37344170375944,0.631578947368421,0.09187278901576466,0.26999350241367576,False
outrights,ALL,mom_decel_10,25,23,19,45509,-0.033830958552360214,0.07891681413404211,-1.868622436308404,-0.06931628585776467,0.0016543687530442414,0.3024669628741905,0.2824669628741905,-0.7999999999999999,"[0.4899, 0.2222, 0.3007, -0.1149, 0.1874]","[-13.8021, -3.5024, -1.1556, 0.9419, 3.4651, 14.7461]",0.5018572714993246,0.4981427285006754,1735,0.4835734870317003,0.10495677233429405,0.2599612097378762,3.5623515850144094,-3.3333487031700293,31.143707271806736,0.5789473684210527,0.07803905351354984,0.25779961455735495,False
outrights,ALL,mom_decel_10,30,22,19,44573,-0.03981322471121504,0.07303361720222173,-2.376190989584224,-0.07265314405104703,-0.006973305371383055,0.2501486526043777,0.2301486526043777,-0.8999999999999998,"[0.5254, 0.4218, 0.3419, -0.0814, 0.2752]","[-13.8021, -3.5015, -1.1556, 0.943, 3.4632, 14.7461]",0.5078488873555287,0.4921511126444713,1450,0.4910344827586207,0.014351724137931213,0.14882999709826697,3.8697379310344826,-3.830413793103448,54.004340672368734,0.7894736842105263,0.028798201727997727,0.15359040921598788,False
outrights,ALL,er_drop_20,20,22,19,44573,0.018744147531301603,0.059796697817118875,1.36636048234039,-0.008143726961689465,0.04563202202429267,-0.28286904749282843,-0.30286904749282845,0.7,"[-0.0601, 0.0761, 0.2679, 0.2198, 0.2228]","[-0.7046, -0.1343, -0.0374, 0.0387, 0.1341, 0.7422]",0.4632742863590206,0.5367257136409793,2053,0.5323916220165611,0.3826156843643452,0.6077262992319925,3.2459912323429125,-2.8822260107160247,28.98340417085676,0.7368421052631579,0.18865347046874842,0.38083317403037065,False
outrights,ALL,er_drop_20,25,22,19,43638,-0.0064435242977232896,0.06339679331291559,-0.4430298408847553,-0.03495019914905208,0.0220631505536055,-0.007108857281664022,-0.027108857281664022,0.3,"[0.1316, 0.2127, 0.4184, 0.2455, 0.1387]","[-0.7046, -0.1344, -0.0375, 0.0388, 0.1342, 0.7422]",0.4820330017823262,0.5179669982176738,1666,0.49879951980792314,0.1285354141656663,0.0983804469372453,3.536800720288115,-3.430324129651861,7.383830681412589,0.5789473684210527,0.6630226086384533,0.7804516810131112,False
outrights,ALL,er_drop_20,30,22,19,42704,-0.035006323191010005,0.10163271972052108,-1.5013769738145366,-0.08070596735170113,0.010693320969681126,0.26527438698384864,0.24527438698384865,-0.7,"[0.367, 0.3611, 0.5032, 0.2615, 0.1018]","[-0.7046, -0.1341, -0.0372, 0.0391, 0.1347, 0.7422]",0.49321745258089145,0.5067825474191086,1398,0.5085836909871244,0.17669527896995743,0.15331530946159214,4.0382689556509295,-3.685937052932761,25.022949563575608,0.5789473684210527,0.15059688890940376,0.3370873368334841,False
outrights,ALL,vol_ratio,20,22,19,39914,0.03317662937138138,0.2376169411120639,0.6085995974880964,-0.07366897788221093,0.1400222366249737,-0.10676396600567485,-0.12676396600567486,0.7,"[-0.0994, -0.0263, 0.2325, 0.4428, 0.0074]","[0.2301, 0.7231, 0.87, 1.0239, 1.2292, 2.2153]",0.5445665445665445,0.4554334554334555,1617,0.48175633889919606,-0.1789363017934445,-0.24711062221570596,3.04904143475572,-3.199196042053185,7.376964818037531,0.42105263157894735,0.5503937293574965,0.7076490806024955,False
outrights,ALL,vol_ratio,25,22,19,38989,0.03736827162997899,0.24314149840206326,0.6699165745063703,-0.07196147953900384,0.1466980227989618,-0.08193461869709662,-0.10193461869709662,0.7999999999999999,"[0.1423, 0.1018, 0.1981, 0.293, 0.2242]","[0.2301, 0.7245, 0.8714, 1.0263, 1.2316, 2.2153]",0.5438816614937595,0.4561183385062405,1332,0.4722222222222222,-0.5005180180180181,-0.4624173180695235,3.256486486486486,-3.921771771771771,9.135226015995958,0.47368421052631576,0.5114143701960524,0.6664356679217068,False
outrights,ALL,vol_ratio,30,22,19,38065,0.045195962206870194,0.228939935995587,0.8605079365429199,-0.05774798771339558,0.14813991212713595,-0.03228276587200524,-0.05228276587200524,0.49999999999999994,"[0.2699, 0.2604, 0.2162, 0.4113, 0.3021]","[0.2301, 0.7248, 0.872, 1.0273, 1.2329, 2.2153]",0.5228563700297538,0.4771436299702462,1132,0.4734982332155477,-0.4418286219081271,-0.5053896215778829,3.7592756183745584,-4.121051236749117,13.037999038529088,0.5263157894736842,0.4008260752542164,0.5695949490454654,False
outrights,ALL,er_20,20,23,19,45509,-0.08140392825377733,0.15279872550371862,-2.322215029580305,-0.1501106144757847,-0.012697242031769973,0.7343438758457133,0.7143438758457132,-0.09999999999999999,"[0.1035, 0.3528, 0.1946, 0.4002, -0.6308]","[0.0, 0.0774, 0.1566, 0.2503, 0.3769, 0.9963]",0.5387703359391507,0.4612296640608493,2066,0.510164569215876,0.1144046466602132,0.16085906927882793,3.058000968054211,-3.1101936108422072,42.222091446914625,0.631578947368421,0.03214732888039321,0.16233617359076202,False
outrights,ALL,er_20,25,22,19,44573,-0.10675557955359474,0.1764637850588684,-2.637010096876251,-0.18610337430527518,-0.027407784801914317,1.3057966521843465,1.2857966521843465,-0.7999999999999999,"[0.4509, 0.5308, 0.1907, 0.433, -0.8549]","[0.0, 0.0775, 0.157, 0.2508, 0.3772, 0.9963]",0.5534743527638732,0.44652564723612675,1675,0.5385074626865671,0.5377313432835823,0.5584275298214761,3.67334328358209,-3.300764179104478,47.94563812502274,0.631578947368421,0.0167419343893716,0.10632263361145175,False
outrights,ALL,er_20,30,22,19,43638,-0.09999285139623476,0.19902104845917146,-2.190013255819433,-0.18948362877661568,-0.010502074015853846,1.4735372576664767,1.4535372576664767,-0.8999999999999998,"[0.6449, 0.6314, 0.3453, 0.4883, -0.8286]","[0.0, 0.0778, 0.1574, 0.2512, 0.3772, 0.9963]",0.562891698735569,0.437108301264431,1418,0.5232722143864598,0.4821509167842034,0.4245948537495018,3.9333991537376582,-3.7272849083215798,39.8184228330806,0.631578947368421,0.041934211603923445,0.1906903096094203,False
outrights,ALL,slope_20,20,23,19,45697,-0.07599217080966134,0.24978510511701818,-1.3261086681065968,-0.18830925188235936,0.03632491026303668,0.6561741990339602,0.6361741990339602,-0.09999999999999999,"[0.2147, -0.1202, 0.4092, 0.6022, -0.4415]","[-1.3335, -0.2295, -0.0382, 0.1268, 0.3015, 1.0288]",0.49895956357910126,0.5010404364208987,1619,0.4793082149474985,-0.1771340333539221,-0.14329333418049603,3.0008276714021003,-3.06798641136504,22.101811135109948,0.5789473684210527,0.20138615647388197,0.3869681764741527,False
outrights,ALL,slope_20,25,22,19,44760,-0.0750523662830907,0.22817038553140892,-1.433778004712002,-0.17765028411375638,0.027545551547574973,0.5704867902582841,0.5504867902582841,0.0,"[0.0571, 0.1849, 0.6422, 0.6659, -0.5134]","[-1.3335, -0.2298, -0.0375, 0.1273, 0.3017, 1.0288]",0.4921435944489047,0.5078564055510952,1347,0.47809948032665184,-0.19467706013362987,-0.14636692231833456,3.4963400148478105,-3.5792056421677807,21.72390916230306,0.5263157894736842,0.1687792167129266,0.3609535723761599,False
outrights,ALL,slope_20,30,22,19,43825,-0.04741428902010713,0.17070598615847218,-1.210702090591097,-0.12417306163776909,0.029344483597554823,0.12126449286228311,0.1012644928622831,0.0,"[-0.112, 0.4428, 0.7338, 0.8021, -0.2333]","[-1.3335, -0.2292, -0.0366, 0.1277, 0.3018, 1.0288]",0.47910456484890995,0.52089543515109,1169,0.49615055603079555,-0.06554319931565432,0.009249836942652828,3.970376390076989,-3.7378272027373827,16.509573962605867,0.47368421052631576,0.24166746958081334,0.42963105703255705,False
outrights,ALL,macd_hist,20,22,19,43077,-0.09184781105177775,0.23302486707216374,-1.7180798409645026,-0.1966285699951008,0.01293294789154531,0.7757842535417832,0.7557842535417831,-0.3,"[0.3273, 0.4458, 0.3375, 0.3498, -0.4485]","[-2.2947, -0.2692, -0.0574, 0.0914, 0.2717, 3.0832]",0.5141088779448955,0.48589112205510454,1509,0.4804506295559973,-0.1846653412856193,-0.008558005044075464,3.2672034459907224,-3.3415175612988732,31.237815290263683,0.631578947368421,0.10293540756730281,0.28689094238112783,False
outrights,ALL,macd_hist,25,22,19,42146,-0.09791356016573034,0.25092882653133425,-1.700862032730277,-0.21074492110614162,0.014917800774680925,0.9443559462977527,0.9243559462977526,-0.8999999999999998,"[0.5752, 0.6345, 0.3905, 0.3705, -0.3692]","[-2.2947, -0.2691, -0.0572, 0.0917, 0.2718, 3.0832]",0.5081543897798315,0.4918456102201685,1276,0.4615987460815047,-0.5780172413793101,-0.33246339709211603,3.3736598746081503,-4.106230407523511,30.924764231459577,0.631578947368421,0.10618029493766844,0.29031574312071373,False
outrights,ALL,macd_hist,30,22,19,41216,-0.08602664995663317,0.2397017860758626,-1.5643666230072846,-0.19380971783548284,0.02175641792221651,0.6240016750557245,0.6040016750557244,-0.8999999999999998,"[0.5907, 0.7136, 0.4709, 0.4631, -0.0333]","[-2.0048, -0.2676, -0.0558, 0.092, 0.2721, 3.0832]",0.501669449081803,0.498330550918197,1095,0.4593607305936073,-0.7265205479452055,-0.7457901569150648,3.7268219178082185,-4.584867579908676,23.70252459101946,0.5263157894736842,0.1351420503965282,0.3229185887260768,False
outrights,ALL,level_z,20,15,12,36867,-0.23893795051700048,0.23747781612200777,-3.4854006737134564,-0.37330367396031405,-0.10457222707368694,1.9708746497411902,1.9508746497411902,-0.09999999999999999,"[-1.1475, 1.2323, 2.0226, 1.2985, -3.1184]","[-20.0254, -1.6091, -0.7413, -0.2657, 0.2635, 4.2054]",0.4813816992206293,0.5186183007793708,631,0.5372424722662441,0.45079239302694213,0.4943899516032176,4.171030110935024,-3.7655625990491286,66.66666666666667,0.8333333333333334,0.005099702411931058,0.04739875901806062,True
